R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R00090	NADH:hydrogen-peroxide oxidoreductase	C00027 + C00004 + C00080	C00003 + C00001	C00027 + C00004 + C00080 <=> C00003 + 2 C00001	NADH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O	Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O
R00091	CoA:NAD+ oxidoreductase	C00003 + C00010	C02015 + C00004 + C00080	C00003 + 2 C00010 <=> C02015 + C00004 + C00080	CoA:NAD+ oxidoreductase; NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+	NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+
R00092	Fe2+:NAD+ oxidoreductase;	C00003 + C14818	C00004 + C00080 + C14819	C00003 + 2 C14818 <=> C00004 + C00080 + 2 C14819	Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase; NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+	NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+
R00093	L-glutamate:NAD+ oxidoreductase (transaminating)	C00025 + C00003	C00064 + C00026 + C00004 + C00080	2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080	L-glutamate:NAD+ oxidoreductase (transaminating); 2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+	2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+
R00094	glutathione:NAD+ oxidoreductase	C00051 + C00003	C00127 + C00004 + C00080	2 C00051 + C00003 <=> C00127 + C00004 + C00080	glutathione:NAD+ oxidoreductase; 2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+	2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+
R00095	NADH:monodehydroascorbate oxidoreductase	C00003 + C00072	C00004 + C01041 + C00080	C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080	NADH:monodehydroascorbate oxidoreductase; NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+	NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+
R00100	NADH:ferricytochrome-b5 oxidoreductase	C00004 + C00996	C00003 + C00999 + C00080	C00004 + 2 C00996 <=> C00003 + 2 C00999 + C00080	NADH:ferricytochrome-b5 oxidoreductase; NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+	NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+
R00101	NADH:ferrileghemoglobin oxidoreductase	C00004 + C02683	C00003 + C02685 + C00080	C00004 + 2 C02683 <=> C00003 + 2 C02685 + C00080	NADH:ferrileghemoglobin oxidoreductase; NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+	NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+
R00102	NAD+ glycohydrolase	C00003 + C00001	C00153 + C00301	C00003 + C00001 <=> C00153 + C00301	NAD+ glycohydrolase; NAD+ + H2O <=> Nicotinamide + ADP-ribose	NAD+ + H2O <=> Nicotinamide + ADP-ribose
R00103	NAD+ phosphohydrolase	C00003 + C00001	C00020 + C00455	C00003 + C00001 <=> C00020 + C00455	NAD+ phosphohydrolase; NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide	NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide
R00104	ATP:NAD+ 2'-phosphotransferase	C00002 + C00003	C00008 + C00006	C00002 + C00003 <=> C00008 + C00006	ATP:NAD+ 2'-phosphotransferase; ATP + NAD+ <=> ADP + NADP+	ATP + NAD+ <=> ADP + NADP+
R00105	ATP:NADH 2'-phosphotransferase	C00002 + C00004	C00008 + C00005	C00002 + C00004 <=> C00008 + C00005	ATP:NADH 2'-phosphotransferase; ATP + NADH <=> ADP + NADPH	ATP + NADH <=> ADP + NADPH
R00106	NADPH:ferricytochrome oxidoreductase	C00005 + C00923	C00006 + C00924 + C00080	C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080	NADPH:ferricytochrome oxidoreductase; NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+	NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+
R00108	NADPH:ferricytochrome-c2 oxidoreductase	C00005 + C00997	C00006 + C01000 + C00080	C00005 + 2 C00997 <=> C00006 + 2 C01000 + C00080	NADPH:ferricytochrome-c2 oxidoreductase; NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+	NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+
R00109	NADPH:ferrileghemoglobin oxidoreductase	C00005 + C02683	C00006 + C02685 + C00080	C00005 + 2 C02683 <=> C00006 + 2 C02685 + C00080	NADPH:ferrileghemoglobin oxidoreductase; NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+	NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+
R00111	N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	C00005 + C05933 + C00007 + C00080	C00006 + C00533 + C00327 + C00001	C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001	N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming); NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O	NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O
R00112	NADPH:NAD+ oxidoreductase	C00005 + C00003	C00006 + C00004	C00005 + C00003 <=> C00006 + C00004	NADPH:NAD+ oxidoreductase; NADPH + NAD+ <=> NADP+ + NADH	NADPH + NAD+ <=> NADP+ + NADH
R00113	NADPH:hydrogen-peroxide oxidoreductase	C00027 + C00005 + C00080	C00006 + C00001	C00027 + C00005 + C00080 <=> C00006 + 2 C00001	NADPH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O	Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O
R00114	L-glutamate:NADP+ oxidoreductase (transaminating)	C00025 + C00006	C00064 + C00026 + C00005 + C00080	2 C00025 + C00006 <=> C00064 + C00026 + C00005 + C00080	L-glutamate:NADP+ oxidoreductase (transaminating); 2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+	2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+
R00115	glutathione:NADP+ oxidoreductase	C00051 + C00006	C00127 + C00005 + C00080	2 C00051 + C00006 <=> C00127 + C00005 + C00080	glutathione:NADP+ oxidoreductase; 2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+	2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+
R00118	NADP+ 2'-phosphohydrolase	C00006 + C00001	C00009 + C00003	C00006 + C00001 <=> C00009 + C00003	NADP+ 2'-phosphohydrolase; NADP+ + H2O <=> Orthophosphate + NAD+	NADP+ + H2O <=> Orthophosphate + NAD+
R00119	NADP+:nicotinate ADP-ribosyltransferase	C00006 + C00253	C00153 + C13051	C00006 + C00253 <=> C00153 + C13051	NADP+:nicotinate ADP-ribosyltransferase; NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate	NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate
R00120	glutathione:oxygen oxidoreductase	C00007 + C00051	C00127 + C00027	C00007 + 2 C00051 <=> C00127 + C00027	glutathione:oxygen oxidoreductase; Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide	Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide
R00122	ADP phosphohydrolase	C00008 + C00001	C00020 + C00009	C00008 + C00001 <=> C00020 + C00009	ADP phosphohydrolase; ADP + H2O <=> AMP + Orthophosphate	ADP + H2O <=> AMP + Orthophosphate
R00123	ADP aminohydrolase	C00008 + C00001	C00104 + C00014	C00008 + C00001 <=> C00104 + C00014	ADP aminohydrolase; ADP + H2O <=> IDP + Ammonia	ADP + H2O <=> IDP + Ammonia
R00124	ATP:ADP phosphatransferase	C00002 + C00008	C00008 + C00002	C00002 + C00008 <=> C00008 + C00002	ATP:ADP phosphatransferase; ATP + ADP <=> ADP + ATP	ATP + ADP <=> ADP + ATP
R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	C01260 + C00001	C00008	C01260 + C00001 <=> 2 C00008	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP	P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP
R00126	ADP:ATP adenylyltransferase	C00008 + C00002	C00009 + C01260	C00008 + C00002 <=> C00009 + C01260	ADP:ATP adenylyltransferase; ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate	ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate
R00127	ATP:AMP phosphotransferase	C00002 + C00020	C00008	C00002 + C00020 <=> 2 C00008	ATP:AMP phosphotransferase; ATP + AMP <=> 2 ADP	ATP + AMP <=> 2 ADP
R00128	adenosine-tetraphosphate phosphohydrolase	C03483 + C00001	C00002 + C00009	C03483 + C00001 <=> C00002 + C00009	adenosine-tetraphosphate phosphohydrolase; Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate	Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate
R00129	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)	C00002 + C04856	C00008 + C00009 + C00004	C00002 + C04856 <=> C00008 + C00009 + C00004	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming); ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH	ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH
R00130	ATP:dephospho-CoA 3'-phosphotransferase	C00002 + C00882	C00008 + C00010	C00002 + C00882 <=> C00008 + C00010	ATP:dephospho-CoA 3'-phosphotransferase; ATP + Dephospho-CoA <=> ADP + CoA	ATP + Dephospho-CoA <=> ADP + CoA
R00131	urea amidohydrolase	C00086 + C00001	C00011 + C00014	C00086 + C00001 <=> C00011 + 2 C00014	urea amidohydrolase; Urea + H2O <=> CO2 + 2 Ammonia	Urea + H2O <=> CO2 + 2 Ammonia
R00132	carbonate hydro-lyase (carbon-dioxide-forming);	C01353	C00011 + C00001	C01353 <=> C00011 + C00001	carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase; Carbonic acid <=> CO2 + H2O	Carbonic acid <=> CO2 + H2O
R00134	formate:NADP+ oxidoreductase	C00058 + C00006	C00011 + C00005 + C00080	C00058 + C00006 <=> C00011 + C00005 + C00080	formate:NADP+ oxidoreductase; Formate + NADP+ <=> CO2 + NADPH + H+	Formate + NADP+ <=> CO2 + NADPH + H+
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	C00002 + C00455	C00013 + C00003	C00002 + C00455 <=> C00013 + C00003	ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+	ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+
R00138	triphosphate phosphohydrolase	C00536 + C00001	C00013 + C00009	C00536 + C00001 <=> C00013 + C00009	triphosphate phosphohydrolase; Triphosphate + H2O <=> Diphosphate + Orthophosphate	Triphosphate + H2O <=> Diphosphate + Orthophosphate
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	C11038 + C00002	C11039 + C00008	C11038 + C00002 <=> C11039 + C00008	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP
R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	C11038 + C00008	C03997 + C00002	C11038 + C00008 <=> C03997 + C00002	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP
R00141	ATP:ammonia phosphotransferase	C00002 + C00014	C00008 + C02306	C00002 + C00014 <=> C00008 + C02306	ATP:ammonia phosphotransferase; ATP + Ammonia <=> ADP + Phosphoramidate	ATP + Ammonia <=> ADP + Phosphoramidate
R00143	ammonia:NAD+ oxidoreductase;	C00014 + C00003 + C00001	C00192 + C00004 + C00080	C00014 + C00003 + C00001 <=> C00192 + C00004 + C00080	ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase; Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+	Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+
R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	C05167 + C00001 + C00003	C00161 + C00014 + C00004 + C00080	C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080	alpha-amino acid:NAD+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+	alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+
R00146	alpha-amino acid:NADP+ oxidoreductase (deaminating)	C05167 + C00001 + C00006	C00161 + C00014 + C00005 + C00080	C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080	alpha-amino acid:NADP+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+	alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+
R00148	ammonia,ubiquinol:oxygen oxidoreductase;	C00014 + C00007 + C00390	C00192 + C00001 + C00399	C00014 + C00007 + C00390 <=> C00192 + C00001 + C00399	ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase; Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone	Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone
R00149	carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	C00002 + C00014 + C00011 + C00001	C00008 + C00009 + C00169	2 C00002 + C00014 + C00011 + C00001 <=> 2 C00008 + C00009 + C00169	carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating); 2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate	2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate
R00150	ATP:carbamate phosphotransferase	C00002 + C00014 + C00288	C00008 + C00169 + C00001	C00002 + C00014 + C00288 <=> C00008 + C00169 + C00001	ATP:carbamate phosphotransferase; ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O	ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O
R00152	hydrogen cyanide aminohydrolase	C01326 + C00001	C00014 + C00058	C01326 + 2 C00001 <=> C00014 + C00058	hydrogen cyanide aminohydrolase; Hydrogen cyanide + 2 H2O <=> Ammonia + Formate	Hydrogen cyanide + 2 H2O <=> Ammonia + Formate
R00153	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	C05361 + C05359 + C00080	C00014	C05361 + 2 C05359 + 2 C00080 <=> 2 C00014	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia	Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia
R00155	UDP phosphohydrolase	C00015 + C00001	C00105 + C00009	C00015 + C00001 <=> C00105 + C00009	UDP phosphohydrolase; UDP + H2O <=> UMP + Orthophosphate	UDP + H2O <=> UMP + Orthophosphate
R00156	ATP:UDP phosphotransferase	C00002 + C00015	C00008 + C00075	C00002 + C00015 <=> C00008 + C00075	ATP:UDP phosphotransferase; ATP + UDP <=> ADP + UTP	ATP + UDP <=> ADP + UTP
R00157	uridine triphosphate:AMP phosphotransferase;	C00075 + C00020	C00015 + C00008	C00075 + C00020 <=> C00015 + C00008	uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase; UTP + AMP <=> UDP + ADP	UTP + AMP <=> UDP + ADP
R00158	ATP:UMP phosphotransferase	C00002 + C00105	C00008 + C00015	C00002 + C00105 <=> C00008 + C00015	ATP:UMP phosphotransferase; ATP + UMP <=> ADP + UDP	ATP + UMP <=> ADP + UDP
R00159	UTP phosphohydrolase	C00075 + C00001	C00015 + C00009	C00075 + C00001 <=> C00015 + C00009	UTP phosphohydrolase; UTP + H2O <=> UDP + Orthophosphate	UTP + H2O <=> UDP + Orthophosphate
R00160	FAD nucleotidohydrolase	C00016 + C00001	C00020 + C00061	C00016 + C00001 <=> C00020 + C00061	FAD nucleotidohydrolase; FAD + H2O <=> AMP + FMN	FAD + H2O <=> AMP + FMN
R00161	ATP:FMN adenylyltransferase	C00002 + C00061	C00013 + C00016	C00002 + C00061 <=> C00013 + C00016	ATP:FMN adenylyltransferase; ATP + FMN <=> Diphosphate + FAD	ATP + FMN <=> Diphosphate + FAD
R00162	ATP:protein phosphotransferase;	C00002 + C00017	C00008 + C00562	C00002 + C00017 <=> C00008 + C00562	ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent); ATP + Protein <=> ADP + Phosphoprotein	ATP + Protein <=> ADP + Phosphoprotein
R00164	phosphoprotein phosphohydrolase	C00562 + C00001	C00017 + C00009	C00562 + C00001 <=> C00017 + C00009	phosphoprotein phosphohydrolase; Phosphoprotein + H2O <=> Protein + Orthophosphate	Phosphoprotein + H2O <=> Protein + Orthophosphate
R00173	pyridoxal-5'-phosphate phosphohydrolase	C00018 + C00001	C00250 + C00009	C00018 + C00001 <=> C00250 + C00009	pyridoxal-5'-phosphate phosphohydrolase; Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate	Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate
R00174	ATP:pyridoxal 5'-phosphotransferase	C00002 + C00250	C00008 + C00018	C00002 + C00250 <=> C00008 + C00018	ATP:pyridoxal 5'-phosphotransferase; ATP + Pyridoxal <=> ADP + Pyridoxal phosphate	ATP + Pyridoxal <=> ADP + Pyridoxal phosphate
R00177	ATP:L-methionine S-adenosyltransferase	C00009 + C00013 + C00019	C00002 + C00073 + C00001	C00009 + C00013 + C00019 <=> C00002 + C00073 + C00001	ATP:L-methionine S-adenosyltransferase; Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O	Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O
R00178	S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]	C00019 + C00080	C01137 + C00011	C00019 + C00080 <=> C01137 + C00011	S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]; S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2	S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2
R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	C00019	C01234 + C00170	C00019 <=> C01234 + C00170	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming); S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine	S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine
R00181	AMP aminohydrolase	C00020 + C00001	C00130 + C00014	C00020 + C00001 <=> C00130 + C00014	AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia	AMP + H2O <=> IMP + Ammonia
R00182	AMP phosphoribohydrolase	C00020 + C00001	C00147 + C00117	C00020 + C00001 <=> C00147 + C00117	AMP phosphoribohydrolase; AMP + H2O <=> Adenine + D-Ribose 5-phosphate	AMP + H2O <=> Adenine + D-Ribose 5-phosphate
R00183	adenosine 5'-monophosphate phosphohydrolase	C00020 + C00001	C00212 + C00009	C00020 + C00001 <=> C00212 + C00009	adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate	AMP + H2O <=> Adenosine + Orthophosphate
R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	C01260 + C00001	C00002 + C00020	C01260 + C00001 <=> C00002 + C00020	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP	P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP
R00185	ATP:adenosine 5'-phosphotransferase	C00002 + C00212	C00008 + C00020	C00002 + C00212 <=> C00008 + C00020	ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP	ATP + Adenosine <=> ADP + AMP
R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	C06197 + C00001	C00008 + C00020	C06197 + C00001 <=> C00008 + C00020	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase; P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP	P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP
R00188	adenosine-3',5'-bisphosphate 3'-phosphohydrolase	C00054 + C00001	C00020 + C00009	C00054 + C00001 <=> C00020 + C00009	adenosine-3',5'-bisphosphate 3'-phosphohydrolase; Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate	Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate
R00189	deamido-NAD+:ammonia ligase (AMP-forming)	C00002 + C00857 + C00014	C00020 + C00013 + C00003	C00002 + C00857 + C00014 <=> C00020 + C00013 + C00003	deamido-NAD+:ammonia ligase (AMP-forming); ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+	ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+
R00190	AMP:diphosphate phospho-D-ribosyltransferase	C00020 + C00013	C00147 + C00119	C00020 + C00013 <=> C00147 + C00119	AMP:diphosphate phospho-D-ribosyltransferase; AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate	AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate
R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	C00575 + C00001	C00020	C00575 + C00001 <=> C00020	adenosine 3',5'-phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic AMP + H2O <=> AMP	3',5'-Cyclic AMP + H2O <=> AMP
R00192	S-adenosyl-L-homocysteine hydrolase	C00021 + C00001	C00212 + C00155	C00021 + C00001 <=> C00212 + C00155	S-adenosyl-L-homocysteine hydrolase; S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine	S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine
R00193	S-adenosyl-L-homocysteine aminohydrolase	C00021 + C00001	C03431 + C00014	C00021 + C00001 <=> C03431 + C00014	S-adenosyl-L-homocysteine aminohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia	S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia
R00194	S-adenosyl-L-homocysteine homocysteinylribohydrolase	C00021 + C00001	C03539 + C00147	C00021 + C00001 <=> C03539 + C00147	S-adenosyl-L-homocysteine homocysteinylribohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine	S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine
R00195	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	C06393 + C00001	C00022 + C00014	C06393 + C00001 <=> C00022 + 2 C00014	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming); 2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia	2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia
R00196	(S)-lactate:ferricytochrome-c 2-oxidoreductase	C00186 + C00125	C00022 + C00126 + C00080	C00186 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080	(S)-lactate:ferricytochrome-c 2-oxidoreductase; (S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+	(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00197	(R)-lactate:ferricytochrome-c 2-oxidoreductase	C00256 + C00125	C00022 + C00126 + C00080	C00256 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080	(R)-lactate:ferricytochrome-c 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+	(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00198	(R)-lactate:ferricytochrome-c-553 2-oxidoreductase	C00256 + C01070	C00022 + C01071 + C00080	C00256 + 2 C01070 <=> C00022 + 2 C01071 + 2 C00080	(R)-lactate:ferricytochrome-c-553 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+	(R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+
R00199	ATP:pyruvate,water phosphotransferase	C00002 + C00022 + C00001	C00020 + C00074 + C00009	C00002 + C00022 + C00001 <=> C00020 + C00074 + C00009	ATP:pyruvate,water phosphotransferase; ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate	ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate
R00200	ATP:pyruvate 2-O-phosphotransferase	C00002 + C00022	C00008 + C00074	C00002 + C00022 <=> C00008 + C00074	ATP:pyruvate 2-O-phosphotransferase; ATP + Pyruvate <=> ADP + Phosphoenolpyruvate	ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
R00203	pyruvaldehyde:NAD+ oxidoreductase;	C00546 + C00003 + C00001	C00022 + C00004 + C00080	C00546 + C00003 + C00001 <=> C00022 + C00004 + C00080	pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase; Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+	Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+
